candidate_id,source_dataset,source_split,source_image,max_confidence,detection_count,manual_visual_label,curation_action,privacy_status,split_policy,status,notes
v3-vl1vs1-fp-011,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_9af3814487_2_09_0_1_1_2_20211021_0000724240.jpg,0.591713,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-012,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_21b090e2ca_2_09_0_1_1_1_20210727_0000070873.jpg,0.564987,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-013,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_f3952060a1_2_09_0_1_3_1_20211014_0000631827.jpg,0.549398,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-014,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_650c1b5e6e_2_09_0_1_1_1_20210927_0000551857.jpg,0.548142,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-015,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_dcf290c251_2_09_0_1_4_1_20210729_0000027824.jpg,0.525922,2,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-016,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_a5b620b893_2_09_0_1_1_1_20210911_0000479398.jpg,0.524038,2,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-017,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_5a9e183e5a_2_09_0_1_4_1_20210830_0000436441.jpg,0.506876,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-018,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_a49a8ad78e_2_09_0_1_1_1_20210729_0000025100.jpg,0.493516,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함; 라벨은 정상 hard-negative로 유지하되 마모가 강해 threshold/augmentation 검토 우선
v3-vl1vs1-fp-019,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_a8fc7b5ca7_2_09_0_1_4_1_20210824_0000363384.jpg,0.446505,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함; 신발 일부가 보여 공유 전 privacy audit 필요
v3-vl1vs1-fp-020,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_40eab1783d_2_09_0_1_1_1_20210927_0000551843.jpg,0.442257,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
v3-vl1vs1-fp-021,aihub513_vl1_vs1_tactile_hard_negative_200_20260517,val,runs/validation/aihub513_vl1_vs1_tactile_hard_negative_200_20260517/images/val/aihub513_vl1_vs1_835db4766d_2_09_0_1_1_1_20211003_0000613331.jpg,0.357994,1,normal_or_weathered_tactile_block_false_positive,keep_as_hard_negative_and_review_threshold,no_face_or_license_plate_visible_in_review_sheet; keep local-only until source privacy audit,do_not_cross_split_with_same_location_or_sequence,candidate_for_v3_hard_negative_review,정상 또는 마모/오염/그림자가 있는 점자블록을 damaged_tactile_block으로 탐지함
