no,row_id,image_file,current_status,privacy_status,decision_options,your_decision,note
16,v3-review-040,02_hard_negative_candidates/items/16_v3-review-040.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
17,v3-review-041,02_hard_negative_candidates/items/17_v3-review-041.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
18,v3-review-042,02_hard_negative_candidates/items/18_v3-review-042.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
19,v3-review-043,02_hard_negative_candidates/items/19_v3-review-043.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
20,v3-review-044,02_hard_negative_candidates/items/20_v3-review-044.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
21,v3-review-045,02_hard_negative_candidates/items/21_v3-review-045.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
22,v3-review-046,02_hard_negative_candidates/items/22_v3-review-046.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
23,v3-review-047,02_hard_negative_candidates/items/23_v3-review-047.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
24,v3-review-048,02_hard_negative_candidates/items/24_v3-review-048.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
25,v3-review-049,02_hard_negative_candidates/items/25_v3-review-049.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
26,v3-review-050,02_hard_negative_candidates/items/26_v3-review-050.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
27,v3-review-051,02_hard_negative_candidates/items/27_v3-review-051.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
28,v3-review-052,02_hard_negative_candidates/items/28_v3-review-052.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
29,v3-review-053,02_hard_negative_candidates/items/29_v3-review-053.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
30,v3-review-054,02_hard_negative_candidates/items/30_v3-review-054.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
31,v3-review-055,02_hard_negative_candidates/items/31_v3-review-055.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
32,v3-review-056,02_hard_negative_candidates/items/32_v3-review-056.jpg,hard_negative_review_candidate,privacy_pass_auto,hard_negative/positive/drop/hold,,
33,v3-review-057,02_hard_negative_candidates/items/33_v3-review-057.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
34,v3-review-058,02_hard_negative_candidates/items/34_v3-review-058.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
35,v3-review-059,02_hard_negative_candidates/items/35_v3-review-059.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
36,v3-review-060,02_hard_negative_candidates/items/36_v3-review-060.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
37,v3-review-061,02_hard_negative_candidates/items/37_v3-review-061.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
